DateTime,AddedIPs,RemovedIPs
1559167392,0,1
1559174463,1,0
1559178187,1,0
1559188982,1,0
1559224864,1,0
1559228580,0,1
1559232185,1,0
1559250067,1,0
1559253811,1,0
1559257397,0,1
1559264599,1,0
1559358162,0,2
1559361659,0,1
1559379769,1,1
1559419386,1,0
1559444575,2,1
1559469659,1,0
1559473365,0,1
1559498563,0,1
1559502067,0,1
1559509358,0,1
1559530968,2,0
1559538169,1,0
1559545259,0,1
1559563352,1,0
1559602983,1,0
1559631665,1,1
1559638973,1,0
1559674868,1,0
1559714466,0,1
1559721791,0,1
1559725369,1,0
1559739761,0,1
1559764987,0,1
1559779278,0,1
1559782971,0,1
1559786570,1,0
1559793659,0,1
1559826158,0,1
1559836863,1,1
1559880068,0,1
1559934070,0,1
1559944867,0,1
1559952063,0,1
1560031259,0,1
1560052856,0,1
1560070970,0,1
1560110569,0,2
1560114167,1,0
1560182465,0,1
1560193260,1,0
1560200597,3,0
1560207785,1,1
1560261780,1,0
1560265259,0,1
1560276069,0,1
1560279661,1,0
1560290468,0,1
1560294190,0,1
1560297661,0,1
1560304990,1,0
1560348189,1,0
1560366065,1,0
1560369785,1,0
1560376863,1,0
1560398464,0,1
1560412914,0,1
1560416518,1,0
1560423726,1,0
1560441666,0,1
1560448864,1,0
1560470466,1,0
1560499405,1,0
1560502973,1,0
1560524470,0,1
1560592867,1,0
1560629024,0,1
1560636066,0,1
1560650577,1,1
1560654066,1,0
1560690178,0,1
1560708069,2,0
1560718969,2,1
1560736993,0,1
1560787271,1,0
1560794470,1,0
1560816082,0,1
1560934967,0,1
1560960067,1,0
1560970872,1,0
1560978174,0,1
1560992520,0,1
1560996190,0,1
1561010462,0,1
1561017798,0,2
1561024861,0,1
1561028575,0,1
1561050271,0,1
1561078960,0,1
1561104193,1,1
1561107762,1,1
1561111262,0,1
1561115011,0,1
1561122159,1,0
1561132873,0,1
1561140060,1,0
1561154463,1,0
1561168998,1,0
1561208560,1,0
1561226462,1,0
1561258867,0,1
1561269664,0,1
1561312859,0,1
1561316466,0,1
1561323765,0,1
1561338157,1,0
1561399271,0,1
1561406609,1,0
1561431661,1,0
1561453364,0,1
1561456861,1,0
1561460587,1,1
1561464063,1,0
1561496576,1,0
1561503795,0,1
1561521665,1,0
1561539776,1,0
1561572073,0,1
1561579404,0,1
1561582972,0,1
1561604468,0,1
1561633398,1,0
1561658470,0,1
1561662068,0,1
1561669383,1,0
1561680073,1,0
1561690866,1,0
1561694471,1,0
1561698286,1,0
1561730603,0,1
1561763015,0,2
1561770182,0,1
1561802465,1,0
1561820462,0,1
1561834864,1,0
1561849408,0,1
1561852863,1,1
1561867264,1,1
1561874462,2,0
1561881777,1,0
1561899771,1,0
1561917671,2,0
1561928579,1,0
1561939270,1,0
1561953669,1,0
1561964467,0,1
1561968186,1,0
1562014983,0,1
1562043775,1,0
1562065266,0,2
1562072568,0,1
1562083272,1,0
1562090578,0,1
1562104871,0,1
1562133670,0,1
1562144671,1,0
1562166071,1,0
1562205664,1,0
1562220075,1,0
1562223671,1,0
1562227273,1,0
1562238078,0,2
1562241669,0,1
1562248873,1,0
1562263281,1,0
1562292074,2,1
1562367679,0,1
1562443282,1,0
1562450477,0,1
1562464879,1,1
1562472074,1,0
1562479275,0,1
1562486483,0,1
1562515273,0,1
1562522475,1,1
1562536881,1,0
1562547874,0,1
1562551268,0,2
1562572870,0,1
1562580069,0,1
1562601668,0,1
1562608871,0,1
1562612473,0,1
1562630468,1,0
1562691881,1,0
1562698867,1,0
1562731266,0,1
1562752865,0,1
1562756585,1,0
1562817674,1,0
1562828581,0,1
1562835768,1,0
1562846468,1,0
1562857387,0,3
1562864574,0,1
1562871786,0,1
1562882470,2,0
1562893377,0,1
1562918476,1,0
1562932867,0,1
1562950971,1,1
1562954467,1,0
1562983267,1,0
1562987016,1,0
1562994176,1,0
1563037377,1,0
1563048072,1,0
1563051774,0,1
1563076880,1,0
1563094986,1,0
1563098473,1,0
1563123777,1,1
1563130981,0,1
1563138177,0,1
1563145440,0,1
1563148873,0,1
1563152577,1,0
1563159823,1,0
1563163374,0,1
1563224469,0,1
1563264170,1,0
1563285688,1,0
1563296471,2,0
1563303745,0,1
1563310878,1,1
1563314478,1,0
1563328879,0,1
1563336168,0,2
1563368467,0,1
1563379369,0,1
1563386471,1,0
1563408174,1,0
1563429768,0,1
1563440477,1,0
1563473025,0,1
1563508971,1,0
1563512474,1,0
1563523380,0,1
1563537773,0,1
1563544873,1,0
1563562991,1,1
1563613271,0,1
1563645670,0,1
1563649383,0,1
1563652973,0,1
1563656469,0,1
1563663669,4,0
1563678071,1,0
1563685270,1,0
1563699669,0,1
1563717670,0,1
1563728465,0,2
1563746598,0,1
1563753768,1,0
1563771667,0,1
1563775265,1,0
1563789810,1,1
1563793271,1,0
1563811485,1,0
1563825780,1,0
1563850872,1,0
1563879668,0,1
1563890566,0,1
1563933791,1,0
1563937391,0,1
1563948175,0,1
1563980537,0,1
1563998666,1,0
1564002134,0,1
1564063541,1,0
1564074183,0,1
1564167809,0,1
1564185887,3,0
1564189314,0,1
1564193094,0,1
1564196577,0,1
1564210997,4,0
1564218163,3,0
1564239900,0,1
1564265123,0,1
1564300996,0,1
1564308180,0,1
1564326065,0,1
1564344064,3,0
1564365875,0,3
1564369261,0,2
1564372857,0,1
1564380182,0,1
1564416058,1,0
1564423395,1,1
1564441259,0,1
1564498863,1,0
1564520462,0,1
1564592456,1,0
1564599766,1,0
1564606860,1,0
1564617769,1,1
1564635762,1,0
1564657261,1,0
1564675262,0,1
1564697011,1,0
1564732866,1,0
1564736466,1,0
1564758174,1,0
1564779664,0,1
1564783389,1,0
1564790469,1,0
1564794064,0,1
1564797782,0,2
1564830164,1,0
1564837266,2,0
1564840989,3,0
1564851676,1,0
1564855399,3,0
1564916479,1,0
1564934476,1,0
1564945287,1,0
1564948881,2,0
1564963282,1,0
1564966879,0,1
1564970610,1,0
1564977794,1,0
1564995693,0,1
1564999424,0,3
1565010085,0,1
1565046080,0,1
1565074878,0,1
1565092988,0,1
1565103686,2,1
1565118086,1,1
1565121796,1,0
1565139689,2,0
1565179406,0,1
1565229831,0,1
1565236996,0,1
1565240486,0,1
1565244226,1,0
1565247687,1,0
1565251397,0,1
1565298090,1,1
1565301863,1,0
1565316214,0,1
1565341289,1,0
1565345040,0,2
1565377286,0,1
1565391684,0,2
1565398884,0,1
1565409793,0,1
1565456487,1,0
1565460241,0,2
1565463686,1,0
1565478083,1,0
1565499681,0,1
1565535683,0,1
1565553794,0,2
1565557280,0,1
1565564475,0,2
1565568192,3,0
1565571685,3,0
1565575412,1,1
1565582593,1,0
1565633012,0,1
1565643685,0,2
1565650887,1,1
1565697687,1,0
1565705012,1,0
1565708487,0,1
1565722887,0,1
1565733815,1,0
1565737284,0,2
1565740885,2,1
1565751684,1,0
1565758888,3,0
1565762613,1,0
1565830887,0,1
1565881287,1,0
1565899284,0,1
1565902882,0,1
1565906484,2,1
1565920886,1,0
1565924482,0,1
1565928083,1,0
1565953284,0,1
1566054086,1,0
1566068484,1,0
1566079287,1,0
1566115283,0,2
1566140488,1,0
1566187406,1,0
1566190888,1,0
1566234092,1,0
1566248620,0,1
1566266489,0,1
1566270217,0,1
1566284493,1,0
1566295289,1,0
1566306097,1,1
1566331287,0,1
1566335009,0,1
1566338484,0,1
1566345819,1,0
1566363821,1,0
1566378202,1,0
1566525820,1,0
1566540212,0,1
1566547284,0,1
1566558204,0,1
1566583290,1,0
1566586893,1,0
1566604887,1,0
1566608486,1,0
1566640884,0,1
1566669838,1,1
1566673286,0,1
1566680483,0,2
1566730884,1,0
1566766889,0,1
1566792207,0,1
1566795824,1,1
1566867832,2,0
1566882210,0,1
1566936197,1,0
1566950485,1,0
1566954209,0,1
1566964883,0,3
1566968475,0,1
1566982876,0,1
1566986475,0,1
1567004476,1,0
1567011822,0,1
1567022477,0,1
1567026206,1,0
1567033278,1,0
1567036880,2,0
1567040487,1,0
1567054882,1,0
1567065823,1,0
1567072882,1,0
1567105282,1,0
1567130487,0,1
1567159283,0,1
1567184484,1,1
1567191838,1,0
1567195287,1,0
1567206229,1,0
1567209839,0,1
1567220491,1,0
1567234891,1,0
1567270889,0,1
1567274489,0,1
1567281840,0,2
1567292490,0,2
1567299854,1,0
1567303292,1,0
1567306888,2,0
1567321288,0,1
1567350295,1,0
1567357288,0,2
1567386215,1,0
1567400490,1,0
1567411287,0,2
1567414891,0,2
1567458215,0,1
1567465439,0,1
1567468886,2,0
1567472485,0,1
1567479825,0,1
1567501281,0,1
1567512195,0,1
1567519281,1,0
1567523021,0,1
1567540879,0,1
1567544478,0,1
1567569677,1,1
1567627278,0,1
1567648883,2,0
1567667024,2,0
1567670479,0,1
1567688475,0,1
1567702873,0,1
1567717277,0,1
1567731671,1,0
1567746192,0,1
1567753422,1,0
1567767825,1,0
1567782251,0,4
1567825423,0,1
1567828869,1,0
1567843265,0,1
1567850480,1,1
