DateTime,AddedIPs,RemovedIPs
1566221309,0,2
1566223404,0,1
1566225635,1,0
1566227549,0,2
1566235275,1,0
1566237165,1,1
1566239081,1,0
1566240999,0,2
1566242942,1,0
1566245082,2,0
1566248911,1,1
1566250818,1,3
1566252748,3,0
1566254677,1,1
1566256584,1,0
1566260442,0,1
1566262349,1,1
1566264285,0,2
1566266184,2,0
1566268358,1,1
1566270302,1,0
1566274119,0,2
1566279874,0,1
1566281799,0,1
1566283738,1,1
1566285670,1,0
1566287555,0,2
1566289480,0,1
1566291399,1,0
1566293314,0,1
1566297372,1,1
1566299399,0,1
1566301228,0,1
1566303177,0,1
1566309526,2,0
1566311535,2,1
1566319263,1,0
1566321161,1,1
1566323104,0,2
1566324982,0,1
1566326910,1,0
1566329110,0,1
1566330998,0,1
1566332910,1,1
1566334992,1,1
1566336989,4,1
1566338956,2,3
1566340839,0,1
1566342741,0,1
1566344708,2,0
1566346857,1,0
1566348737,0,1
1566352574,0,2
1566354754,0,1
1566356753,1,1
1566364343,3,0
1566368194,1,0
1566370129,0,1
1566372043,0,1
1566373994,1,0
1566375919,2,0
1566377803,0,1
1566379712,1,0
1566381850,1,0
1566383793,0,1
1566391481,1,0
1566395314,1,1
1566397260,0,2
1566399199,0,1
1566404915,1,1
1566409007,1,1
1566410915,2,0
1566412848,1,1
1566419059,0,1
1566420984,0,1
1566422935,1,2
1566425006,0,3
1566426974,1,1
1566431086,0,2
1566433020,0,1
1566438993,2,0
1566442908,0,1
1566444742,3,0
1566450760,1,3
1566454622,0,1
1566456770,2,0
1566458681,1,0
1566461025,0,2
1566463274,1,1
1566465164,0,1
1566469031,0,1
1566472894,1,0
1566474756,1,0
1566476716,1,0
1566478594,0,1
1566480708,1,1
1566486811,2,0
1566492541,0,1
1566496428,0,2
1566498296,0,1
1566500214,1,1
1566502127,1,0
1566504295,1,0
1566508136,1,1
1566510051,1,0
1566512235,1,0
1566514157,0,1
1566516085,1,0
1566521817,1,0
1566523756,1,0
1566525896,0,2
1566529766,1,0
1566531630,0,3
1566537428,1,1
1566539324,1,0
1566541242,1,0
1566543187,1,2
1566545071,0,1
1566547474,1,0
1566549412,0,1
1566553526,2,0
1566555685,2,0
1566557558,1,0
1566559491,1,1
1566561415,0,1
1566563400,1,1
1566567459,0,1
1566569330,1,0
1566571489,0,1
