DateTime,AddedIPs,RemovedIPs
1565543093,1,0
1565546695,1,1
1565550294,2,1
1565553896,2,0
1565564705,26,0
1565568304,0,1
1565579106,2,1
1565582705,0,1
1565586304,0,1
1565589906,2,1
1565593504,0,1
1565597103,0,1
1565600701,0,1
1565604300,0,1
1565607901,1,1
1565611490,0,9
1565615082,0,15
1565618662,0,23
1565622263,1,0
1565625865,1,0
1565640262,1,3
1565643860,0,3
1565647463,2,0
1565651064,2,0
1565654666,1,0
1565658266,1,1
1565661865,0,3
1565665464,1,2
1565672660,0,3
1565676262,0,3
1565679859,0,1
1565683464,2,1
1565687065,1,0
1565690667,1,0
1565694265,0,2
1565697864,0,1
1565705064,1,2
1565708664,1,1
1565712261,0,2
1565715859,1,2
1565719458,1,2
1565723056,0,1
1565726654,1,2
1565730255,3,2
1565733854,0,3
1565741054,1,1
1565751853,3,4
1565755453,3,1
1565762643,0,27
1565766242,3,3
1565769843,2,1
1565773441,0,2
1565777042,0,2
1565780638,0,3
1565784222,0,13
1565787818,2,3
1565791420,4,2
1565795017,0,1
1565798612,1,4
1565805814,2,1
1565813009,0,2
1565816610,2,0
1565820215,1,0
1565823808,0,3
1565827409,1,0
1565834607,0,2
1565841804,0,1
1565845404,1,2
1565856202,1,3
1565859799,1,1
1565867000,1,1
1565870600,1,1
1565874197,0,2
1565881395,0,1
1565884996,2,0
1565888596,3,0
1565892199,4,1
1565895803,1,1
1565899398,1,1
1565902993,1,5
1565910200,26,3
1565913802,2,2
1565917396,2,7
1565920996,1,1
1565924590,0,4
1565931795,1,2
1565938992,2,0
1565942593,1,0
1565946191,1,3
1565949793,0,3
1565953390,0,1
1565956990,0,3
1565960589,1,1
1565964189,0,3
1565967793,1,0
1565971391,1,1
1565974993,1,0
1565978590,0,2
1565982190,0,3
1565985803,1,0
1565989390,0,3
1565992990,1,2
1565996589,0,1
1566000189,1,1
1566003792,0,1
1566007388,0,1
1566014589,1,0
1566018187,0,3
1566021792,1,0
1566025389,2,0
1566028987,0,4
1566032591,2,1
1566039793,0,1
1566043389,0,1
1566050588,1,1
1566054188,0,1
1566057790,1,0
1566061388,2,0
1566068589,0,1
1566075790,0,2
1566082987,0,1
1566093792,0,1
1566097385,1,1
1566108185,1,0
1566115387,1,0
1566122588,2,1
1566129793,1,0
1566133388,0,1
1566136991,1,0
1566140590,1,0
1566147793,1,0
1566151391,0,1
1566154990,1,1
1566169380,0,25
1566176580,1,0
1566190981,1,0
1566198182,1,1
1566208983,1,0
1566219783,1,0
1566226980,0,3
1566230579,0,1
1566234178,1,0
1566237781,1,0
1566244979,1,1
1566248580,2,2
1566252181,3,0
1566255777,2,6
1566259378,1,0
1566262978,1,0
1566270179,2,1
1566273778,0,1
1566277377,0,1
1566280979,5,0
1566288178,1,1
1566291782,2,1
1566295379,1,1
1566309783,1,1
1566313379,1,1
1566316977,0,1
1566324187,27,0
1566331387,1,1
1566334988,0,1
1566338588,1,0
1566342188,1,1
1566345789,2,1
1566356589,2,1
1566360187,0,1
1566363789,1,0
1566367383,1,3
1566370982,1,3
1566374582,2,1
1566381784,1,0
1566385382,1,1
1566388982,2,0
1566392581,1,2
1566396181,1,4
1566399781,0,1
1566403377,0,1
1566410575,0,2
1566417777,1,0
1566421373,0,3
1566424971,0,1
1566428574,1,0
1566432173,1,0
1566435773,3,1
1566439374,1,0
1566442973,1,0
1566450175,0,1
1566453777,3,0
1566457373,0,1
1566460972,0,1
1566464570,1,1
1566468174,1,1
1566482573,1,1
1566486176,1,1
1566489777,0,2
1566493375,0,2
1566496974,2,3
1566500572,1,4
1566504172,2,1
1566507773,1,0
1566511375,6,0
1566514966,2,27
1566518565,3,2
1566522167,1,1
1566525767,2,1
1566529372,12,1
1566532974,13,1
1566536574,1,1
1566540175,2,0
1566543775,1,1
1566547373,2,1
1566550974,5,1
1566554574,2,0
1566558181,5,0
1566565379,0,1
1566568978,0,2
1566572580,2,1
1566576181,3,0
1566579780,0,2
1566583378,1,0
1566586978,1,1
1566590577,0,1
1566597780,2,1
1566601381,3,0
1566604984,3,0
1566608585,1,0
1566612186,1,0
1566615790,2,0
1566619389,1,1
1566622992,4,0
1566626592,2,2
1566630199,3,1
1566633800,3,0
1566637398,3,1
1566644601,2,1
1566648205,3,0
1566655405,3,1
1566659006,1,0
1566662614,18,0
1566666218,8,3
1566669822,1,0
1566673425,3,0
1566677026,2,0
1566680630,2,0
1566684238,4,0
1566687839,1,0
1566695040,2,0
1566702239,0,2
1566705841,2,0
1566709440,2,0
1566720242,1,0
1566723843,2,0
1566727439,0,1
1566731041,1,0
1566734641,1,1
1566741844,3,1
1566745443,2,1
1566749046,3,0
1566756249,2,0
1566763447,0,1
1566774249,1,0
1566788647,0,1
1566795849,3,1
1566803048,1,0
1566806649,1,0
1566824649,1,0
1566828251,2,0
1566831851,2,0
1566835452,1,0
1566839052,0,1
1566842652,0,1
1566846255,1,0
1566849858,2,1
1566860656,1,1
1566864259,1,2
1566867860,1,2
1566875059,3,1
1566878660,3,0
1566882264,2,2
1566885861,0,3
1566893059,1,0
1566896660,2,1
1566900265,3,0
1566903865,1,1
1566907463,1,2
1566911061,2,1
1566914661,3,1
1566918266,4,1
1566921866,3,0
1566929057,2,27
1566932656,0,1
1566936259,2,0
1566939858,2,1
1566943458,3,0
1566947058,0,1
1566950656,0,4
1566954259,0,1
1566957861,3,0
1566965061,2,1
1566968659,0,1
1566972263,1,1
1566975860,2,3
1566979459,0,1
1566983061,3,0
1566986660,2,1
1566990262,2,1
1566993863,1,1
1566997461,4,1
1567001061,1,1
1567008264,1,1
1567011862,0,1
1567015459,0,1
1567022661,0,1
1567026263,1,0
1567037060,0,1
1567040661,2,0
1567044263,1,3
1567047861,1,2
1567055059,1,0
1567058658,0,3
1567062262,0,1
1567065860,1,0
1567069460,1,1
1567094663,1,0
1567098264,1,0
1567101863,0,1
1567105462,1,0
1567109062,1,2
1567112665,1,1
1567116260,1,4
1567119860,1,1
1567123462,1,2
1567127062,1,2
1567130659,0,2
1567134259,0,5
1567137853,0,17
1567141447,0,9
1567145048,1,2
1567148646,0,2
1567152247,0,4
1567155848,1,2
1567159445,2,2
1567163047,3,1
1567166657,28,0
1567173858,1,1
1567177454,0,1
1567181053,1,3
1567184651,0,1
1567188254,1,0
1567191856,1,0
1567195453,0,1
1567199054,1,0
1567202654,0,1
1567206254,0,2
1567209852,0,2
1567213450,2,2
1567220646,0,1
1567224259,0,1
1567227846,1,2
1567231443,0,1
1567235040,1,1
1567238639,1,0
1567242240,0,3
1567249434,0,2
1567253035,1,1
1567260233,0,4
1567263834,1,1
1567267433,23,18
1567271027,0,10
1567274625,0,2
1567278222,0,3
1567281827,14,0
1567285427,15,2
1567289023,4,3
1567292624,3,0
1567307021,0,2
1567310621,1,0
1567314220,0,3
1567317820,0,2
1567325016,1,0
1567328618,0,1
1567335814,0,2
1567339412,0,2
1567346611,0,1
1567350210,0,4
1567353804,0,5
1567357404,1,1
1567361003,0,1
1567364606,1,2
1567379003,0,1
1567393404,1,0
1567400603,2,2
1567404205,1,0
1567407805,0,1
